time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
10.82	2	0.162210618	-0.0658796742	-0.116672512	0.51866435	3.35611728	8.10861191	0.289148196	0.0433815855	19.212833
10.83	2	0.164913415	-0.0661843638	-0.116511037	0.52021355	3.2990443	8.25366182	0.28934244	0.0590130828	18.281741
10.84	2	0.167542256	-0.0665206521	-0.116396287	0.521687175	3.25145746	8.42602598	0.289503018	0.0509051422	18.328154
10.85	2	0.169741362	-0.0668031626	-0.116291928	0.523128133	3.19783448	8.58357188	0.289538656	0.132354843	20.692928
10.86	2	0.171238003	-0.0670487546	-0.116205221	0.524635976	3.13422182	8.76311435	0.289517452	0.0999225046	19.012865
10.87	2	0.171878138	-0.0672363836	-0.116158373	0.525830367	3.13632544	8.84775072	0.289388448	0.060033483	16.991402
10.88	2	0.171605397	-0.0673667661	-0.116076563	0.527175929	3.11290417	8.94382518	0.289225749	0.0928459133	18.233695
10.89	2	0.170491061	-0.0674334213	-0.11594712	0.528767336	3.04119729	9.0687396	0.289056291	0.0894434325	17.941566
10.9	2	0.16872194	-0.0674679605	-0.11573815	0.530524796	2.89379609	9.21782208	0.288845774	0.0878430896	18.30974
10.91	2	0.166555544	-0.0674881817	-0.115564473	0.532040784	2.77838624	9.41658216	0.288845467	0.042339194	18.478047
10.92	2	0.164095766	-0.0674115923	-0.11530371	0.533572407	2.63276308	9.56846312	0.28868537	0.0636558321	17.869227
10.93	2	0.161558603	-0.0672339696	-0.114983604	0.535123883	2.48579039	9.6837414	0.288526725	0.0697179181	19.010059
10.94	2	0.159220646	-0.066933619	-0.114617154	0.536701722	2.33941163	9.77550386	0.288431897	0.0549616674	18.035381
10.95	2	0.1574427	-0.0665889131	-0.114130352	0.537824505	2.15986883	9.88028071	0.288413654	0.077865204	15.748368
10.96	2	0.156273131	-0.066175401	-0.113649374	0.538855735	2.08758129	9.91579418	0.288414966	0.0896580969	20.724038
10.97	2	0.155829653	-0.0657206888	-0.11317425	0.539630563	2.08502034	9.90915361	0.288483132	0.0474298946	17.195073
10.98	2	0.156144622	-0.0652750595	-0.112701532	0.540161844	2.12551932	9.86551816	0.288589619	0.0894217144	18.166445
10.99	2	0.157197061	-0.0648629208	-0.112223526	0.540418834	2.19361007	9.76882767	0.28867907	0.0684103204	18.903079
11	2	0.158943441	-0.0644910418	-0.111673515	0.540461412	2.21463567	9.65574848	0.288723164	0.0887905155	16.201407
11.01	2	0.161325016	-0.0642011981	-0.111097582	0.540075626	2.22080366	9.51222009	0.2887662	0.109866994	19.573968
11.02	2	0.164241305	-0.0640305705	-0.110492539	0.539247431	2.20359367	9.35249205	0.288802867	0.0596392651	17.410528
11.03	2	0.167542616	-0.0640235099	-0.109862845	0.537970897	2.16062005	9.19209422	0.28884133	0.0967121411	16.088987
11.04	2	0.171035995	-0.064126415	-0.109177923	0.536138791	2.05373352	9.02024763	0.288824379	0.0921627521	18.326762
11.05	2	0.174512997	-0.064307787	-0.108418878	0.533749144	1.87383824	8.827957	0.288727713	0.101166081	20.15242
11.06	2	0.177811237	-0.0645439842	-0.107579656	0.530785852	1.61130579	8.611023	0.288573651	0.092913949	17.189541
11.07	2	0.18084582	-0.0648309018	-0.106674514	0.527188638	1.26839752	8.38128201	0.288419756	0.108150221	17.890051
11.08	2	0.183522118	-0.0653235678	-0.10580674	0.523331413	0.925173984	8.15286742	0.288300095	0.129615012	17.27625
11.09	2	0.185796921	-0.0659665561	-0.104962516	0.519305251	0.554313197	7.89589463	0.288145323	0.0660921167	16.099243
11.1	2	0.18756047	-0.0666732377	-0.104155883	0.515844706	0.391215784	7.75521307	0.28829732	0.0771573787	19.27044
11.11	2	0.188655691	-0.0673778625	-0.103374668	0.513197668	0.33955673	7.6766424	0.288427743	0.117395408	17.606399
11.12	2	0.188955217	-0.0680156278	-0.102599683	0.511314185	0.399135543	7.63984238	0.288523452	0.0824133786	20.918257
11.13	2	0.188393148	-0.0685356239	-0.101816525	0.510100713	0.542304195	7.64199455	0.288590677	0.103046198	19.195497
11.14	2	0.187006589	-0.0689650103	-0.10111633	0.508924112	0.853196528	7.82819875	0.289019306	0.104942619	15.533188
11.15	2	0.184325754	-0.0692750784	-0.100461923	0.508759923	1.17360813	8.02024205	0.288908798	0.0882818484	20.311203
11.16	2	0.180084694	-0.0694078914	-0.0998000509	0.509423876	1.51178083	8.2352275	0.288657674	0.0984077734	17.117745
11.17	2	0.17453057	-0.069448824	-0.0990788178	0.510088617	1.73497504	8.32483713	0.288142722	0.0719154342	20.568479
11.18	2	0.168075977	-0.0693066584	-0.0983874353	0.511454134	2.0804682	8.52161267	0.287987855	0.0645170625	15.795079
11.19	2	0.161150605	-0.0689799341	-0.0976971611	0.513529606	2.46139205	8.77813776	0.287890129	0.0890263517	19.025702
11.2	2	0.154126687	-0.0685109594	-0.0970184923	0.51628621	2.87133082	9.09484476	0.287821878	0.0959561965	19.949446
11.21	2	0.147303802	-0.0679366722	-0.0962774369	0.519447017	3.20957536	9.4646113	0.287680488	0.13108146	20.654996
11.22	2	0.140883722	-0.0672294047	-0.0953847492	0.522907633	3.4426901	9.83992926	0.287347859	0.0814091757	17.739113
