time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
1.09	0	0.0583795222	-0.123122625	0.0249806269	0.541150636	0.533108985	-0.241375338	0.122503133	0.086881319	18.749533
1.1	0	0.0572263158	-0.12461803	0.0247642606	0.541642338	0.512020329	-0.278110398	0.121999267	0.0926495331	18.926862
1.11	0	0.0561527923	-0.126127731	0.0245452078	0.5421466	0.464528981	-0.312685856	0.121487441	0.140097554	20.773078
1.12	0	0.0552376438	-0.127646431	0.0243218145	0.542685821	0.392768836	-0.363324022	0.120935191	0.0978802386	19.157832
1.13	0	0.0545323927	-0.129180685	0.0240858176	0.54325313	0.338914799	-0.400507486	0.120395915	0.135305546	24.382269
1.14	0	0.0539849918	-0.130687816	0.023777489	0.543253861	0.391100925	-0.34058945	0.120063165	0.0737731046	18.855482
1.15	0	0.0537279875	-0.132164621	0.0235676198	0.542815771	0.297157342	-0.416117924	0.119480209	0.117874411	19.590911
1.16	0	0.0538949262	-0.133654767	0.0233594409	0.542394447	0.2465353	-0.477097855	0.118917486	0.105117768	19.364734
1.17	0	0.054498961	-0.135246243	0.0231482015	0.542016134	0.234956299	-0.489417807	0.118407525	0.119567045	19.22836
1.18	0	0.0555273449	-0.136990311	0.0229383589	0.541793632	0.23433138	-0.451700779	0.117917792	0.122461094	26.09305
1.19	0	0.0569503521	-0.138858891	0.0227368514	0.541657455	0.241866198	-0.3853741	0.117420943	0.133489129	23.2552
1.2	0	0.0587158035	-0.140832726	0.0225634256	0.541533502	0.240152787	-0.317736034	0.116885095	0.104503702	25.102027
1.21	0	0.0607750206	-0.142880805	0.0224266358	0.541426269	0.237307281	-0.249360672	0.116320547	0.155164176	19.444063
1.22	0	0.0630236512	-0.144969683	0.0223387673	0.541229949	0.208264555	-0.206948041	0.115695482	0.123502031	19.451293
1.23	0	0.0653518164	-0.147108185	0.022307681	0.540921027	0.136237356	-0.196487156	0.114999099	0.106808222	18.620268
1.24	0	0.0675696361	-0.149353135	0.022500767	0.541083417	-0.110098701	-0.0712101725	0.114358247	0.0941752946	19.203913
1.25	0	0.0696345733	-0.151639163	0.0229183854	0.541547082	-0.490456609	0.128936375	0.113704545	0.0854446272	25.110587
