time_s	box_x_m	box_y_m	box_z_m	box_error_m	box_progress_m	box_lateral_error_m	box_tilt_deg	ee_contact_error_m	contact_engaged	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
13.24	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.338266122	0	0.947593638	0.639307095	0.342408221	11.8959348	-5.83102335	0.231743613	0.0543366717	0.017783981	27.721303
13.25	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.335672274	0	0.94710168	0.640213692	0.341911428	11.6328078	-5.80357364	0.230153506	0.0811504103	0.0525191069	26.823044
13.26	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.334535234	0	0.94649279	0.640672963	0.341734446	11.3402891	-5.78761515	0.227098557	0.0499494712	0.0385822659	28.346174
13.27	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.332170215	0	0.945800193	0.640732741	0.341856784	11.2931705	-5.75365751	0.225975354	0.0816634736	0.0230780035	29.973839
13.28	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.328670644	0	0.945135786	0.640482249	0.342265372	11.4133557	-5.72765799	0.226072288	0.0690036036	0.0211211702	30.009385
13.29	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.327130872	0	0.94454233	0.640019179	0.342943546	11.6601827	-5.73124962	0.22638651	0.08740659	0.0385174075	25.648661
13.3	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.328006201	0	0.944027052	0.639505497	0.343751967	12.0286063	-5.79533394	0.22688496	0.0679136827	0.0267008639	26.522526
13.31	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.327715157	0	0.943670826	0.638860016	0.344491658	12.4572069	-5.83684742	0.227788391	0.0906100735	0.0524439021	27.527223
13.32	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.325504292	0	0.943388833	0.638162951	0.345227777	12.7191407	-5.9229512	0.228338416	0.0869690229	0.0338519787	26.664049
13.33	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.320647584	0	0.943264403	0.637232281	0.346129473	12.9522202	-6.08162934	0.228989817	0.0923823374	0.0326473252	26.220154
13.34	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.31703793	0	0.943252811	0.636264893	0.347585297	13.1430629	-6.19005703	0.228767135	0.105905453	0.0513041757	26.251496
