time_s	box_x_m	box_y_m	box_z_m	box_error_m	box_progress_m	box_lateral_error_m	box_tilt_deg	ee_contact_error_m	contact_engaged	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
21.73	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.153933159	0	2.05025937	1.10817374	0.347677053	-1.12229988	8.57666111	0.299473252	0.0262144352	0.0254267247	38.437499
21.74	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.156307166	0	2.04934309	1.10834234	0.348727447	-1.23309631	8.54411655	0.299753185	0.0255544513	0.0196821855	40.952877
21.75	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.158870462	0	2.04843082	1.1084197	0.349483556	-1.2272902	8.54546253	0.300268639	0.072750245	0.0152519119	41.08463
21.76	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.160822491	0	2.04763862	1.10847912	0.350191694	-1.2267559	8.50329371	0.300778749	0.0970481674	0.046266767	40.520925
21.77	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.162558445	0	2.04692686	1.10854143	0.35088067	-1.19972559	8.4444318	0.301054958	0.0709121814	0.0169745771	40.821901
21.78	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.163807194	0	2.04618619	1.10857406	0.351583713	-1.15136388	8.39100212	0.301258263	0.0632944809	0.0263878696	40.980389
21.79	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.164371674	0	2.04543039	1.10858297	0.352324673	-1.08920782	8.33531035	0.301382454	0.0660175613	0.0207953041	39.165773
21.8	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.164560693	0	2.0445946	1.10853698	0.353130871	-1.02239142	8.30999317	0.301476249	0.0495112125	0.0229396307	39.378262
21.81	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.164339968	0	2.04378829	1.10850119	0.353945993	-0.96934552	8.31078585	0.301659803	0.065747855	0.0223173693	39.140662
21.82	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.163937969	0	2.0429874	1.10849352	0.35473147	-0.951976842	8.34872296	0.30197009	0.0446786664	0.0127282327	42.024021
21.83	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.163954462	0	2.04220996	1.10852684	0.355041574	-1.00970107	8.32024472	0.302358061	0.0672440094	0.0158300379	44.997867
21.84	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.164966359	0	2.04140291	1.10855537	0.355234433	-1.09655733	8.33632006	0.302787864	0.0377211544	0.0338684405	41.426495
21.85	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.165915174	0	2.04058625	1.10858413	0.35543836	-1.18205622	8.35194738	0.302250398	0.0581619353	0.016196771	40.877736
21.86	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.167451989	0	2.0397938	1.10859131	0.355522183	-1.26064115	8.41260697	0.302251177	0.0548296214	0.0313088174	44.281531
21.87	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.16881858	0	2.03904444	1.10858717	0.355453513	-1.33429666	8.50061384	0.302694224	0.0525691742	0.0458733113	42.681092
21.88	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.169815344	0	2.03828608	1.10851095	0.355421748	-1.36102625	8.59669758	0.303536626	0.125398756	0.0651271229	42.714477
21.89	2.98962635	1.97585908	0.189999563	0.0262753944	2.80402164	0.00973492953	0	0.170653762	0	2.03753336	1.10839008	0.355399929	-1.36876962	8.67526287	0.303971779	0.0510282954	0.0321673381	41.980142
