time_s	ee_error_m	orientation_error	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
6.39	0.0531836296	0.0365338244	0.0329993248	-0.0703184098	0.530042702	-1.32930362	0.549059719	0.301459484	0.128789706	0.0110931456	18.787265
6.4	0.0521202784	0.0352309837	0.0322842909	-0.0695338255	0.530628353	-1.31540941	0.617285012	0.301428602	0.121087619	0.0197530742	18.702411
6.41	0.0508923572	0.0333585231	0.0315957906	-0.0687608936	0.530912824	-1.2831302	0.695701128	0.301681159	0.104281422	0.0327220849	18.95316
6.42	0.049608346	0.0316875307	0.0309072764	-0.0679836024	0.530891218	-1.2551122	0.79900267	0.301935529	0.091237403	0.0202064535	18.415387
6.43	0.0484464332	0.0301086215	0.030214628	-0.0671950482	0.530573451	-1.23664755	0.945058653	0.302666561	0.0801248634	0.0319977489	19.631298
6.44	0.0477074377	0.0281400068	0.0295096358	-0.0663947352	0.530058631	-1.23179608	1.11760559	0.303370038	0.0864986883	0.024684908	18.209768
6.45	0.047395173	0.0259454022	0.0287467591	-0.0656006287	0.529396481	-1.23058477	1.31662133	0.303926193	0.0858661576	0.0208596466	18.885179
6.46	0.0474971344	0.0236887133	0.027937539	-0.0648090937	0.528698521	-1.23920173	1.52778544	0.3040337	0.0921785301	0.0334424475	18.147886
6.47	0.0480813649	0.0215347056	0.0271627213	-0.0640143192	0.527992087	-1.24232259	1.73257912	0.304042987	0.118026546	0.0146345235	17.847166
6.48	0.0495538186	0.0194759935	0.0264686862	-0.063201202	0.527213229	-1.23417549	1.91082993	0.30403013	0.1338623	0.029616636	17.609034
6.49	0.0502725876	0.0184183116	0.0259315991	-0.0623617989	0.526333428	-1.21601841	2.05361771	0.304541898	0.0801139956	0.0292848632	18.56791
6.5	0.0489989865	0.0188547721	0.0255853636	-0.0615069572	0.525229178	-1.15822089	2.11675446	0.305537612	0.144106224	0.0349737574	19.533566
6.51	0.0462376345	0.0202443466	0.0251738353	-0.0606824496	0.524987707	-1.16250978	2.19185341	0.306958374	0.0588839053	0.0266566037	18.523884
6.52	0.0426106004	0.0224415796	0.0248208041	-0.0597888677	0.52493656	-1.26802549	2.31508199	0.308390181	0.055749634	0.0296012707	20.459093
6.53	0.0383723171	0.0248954816	0.0244824427	-0.0589859753	0.525247256	-1.20245758	2.31119859	0.309167797	0.086280968	0.0206180153	18.792695
6.54	0.0336938999	0.0276414327	0.0241601128	-0.0582321581	0.526227048	-1.13706531	2.27372494	0.309563526	0.0717528829	0.0413212147	18.006312
6.55	0.0293024615	0.0299050326	0.0238197778	-0.057575011	0.527830816	-1.00531464	2.19624743	0.309661377	0.0876892197	0.0208324068	19.90901
6.56	0.0247985114	0.0318753028	0.0233866223	-0.0570554349	0.530077348	-0.791184101	2.09592496	0.308928965	0.0758895483	0.041565692	17.721566
6.57	0.0210341247	0.032934513	0.0229291078	-0.0566511569	0.532802041	-0.548915403	1.98000386	0.307801944	0.0755824865	0.0206170394	18.358357
6.58	0.0184757786	0.034116169	0.0224789113	-0.0563995178	0.535881028	-0.256546652	1.88168346	0.306685376	0.0735679477	0.015132583	19.213182
6.59	0.0178884011	0.0351094226	0.0220369686	-0.0563197588	0.539129529	0.0731071817	1.79784091	0.305616546	0.0601327858	0.0144778146	19.478505
6.6	0.0206501248	0.0367467518	0.0216483143	-0.0563128228	0.541769767	0.329200031	1.67417721	0.305260011	0.12071018	0.0173531498	17.239013
6.61	0.0240329902	0.0378727334	0.0213375096	-0.0564508987	0.544024819	0.626058746	1.6382782	0.305335854	0.12165447	0.0265709688	18.574933
6.62	0.0276087362	0.0387879478	0.0210407523	-0.0566470018	0.545910141	0.900794373	1.64923838	0.30562273	0.123388281	0.0165502592	18.642559
6.63	0.0306388206	0.0392436121	0.0208188419	-0.0568686015	0.547330856	1.13096747	1.68023457	0.305942894	0.0785237553	0.0240074369	17.120049
